Date,Open,High,Low,Close
2007-01-01T22:00:00.000000000Z,60.318,61.313,59.853,60.274
2007-01-02T22:00:00.000000000Z,60.371,60.372,57.139,57.589
2007-01-03T22:00:00.000000000Z,57.824,58.127,54.651,54.930
2007-01-04T22:00:00.000000000Z,55.285,55.526,54.266,55.438
2007-01-07T22:00:00.000000000Z,55.821,57.005,54.235,55.575
2007-01-08T22:00:00.000000000Z,54.984,55.472,53.494,55.295
2007-01-09T22:00:00.000000000Z,54.914,55.166,52.959,53.110
2007-01-10T22:00:00.000000000Z,52.777,54.291,51.560,51.682
2007-01-11T22:00:00.000000000Z,51.672,53.005,51.672,52.777
2007-01-14T22:00:00.000000000Z,53.037,53.573,52.658,52.952
2007-01-15T22:00:00.000000000Z,52.965,53.581,52.024,52.178
2007-01-16T22:00:00.000000000Z,52.425,53.525,51.268,53.523
2007-01-17T22:00:00.000000000Z,53.517,53.864,51.399,52.354
2007-01-18T22:00:00.000000000Z,52.186,54.034,52.164,53.950
2007-01-21T22:00:00.000000000Z,54.270,55.048,52.605,53.178
2007-01-22T22:00:00.000000000Z,53.162,55.610,53.141,55.426
2007-01-23T22:00:00.000000000Z,55.370,55.961,54.283,55.961
2007-01-24T22:00:00.000000000Z,55.774,56.283,54.433,54.552
2007-01-25T22:00:00.000000000Z,54.868,55.742,54.530,55.741
2007-01-28T22:00:00.000000000Z,56.128,56.148,53.873,53.922
2007-01-29T22:00:00.000000000Z,54.057,56.780,53.965,56.558
2007-01-30T22:00:00.000000000Z,56.320,57.826,55.437,57.542
2007-01-31T22:00:00.000000000Z,57.446,58.641,56.901,57.060
2007-02-01T22:00:00.000000000Z,57.295,58.899,56.894,58.697
2007-02-04T22:00:00.000000000Z,58.469,59.584,58.036,58.415
2007-02-05T22:00:00.000000000Z,58.619,59.585,58.227,58.766
2007-02-06T22:00:00.000000000Z,59.080,59.613,56.892,57.502
2007-02-07T22:00:00.000000000Z,57.756,59.338,56.935,59.075
2007-02-08T22:00:00.000000000Z,59.125,59.698,58.586,58.965
2007-02-09T22:00:00.000000000Z,58.904,58.904,58.904,58.904
2007-02-11T22:00:00.000000000Z,58.570,58.734,56.313,56.501
2007-02-12T22:00:00.000000000Z,56.630,57.183,56.151,56.967
